@relation MyRelation

@attribute id numeric
@attribute User string
@attribute tweet string
@attribute date date yyyy/MM/dd

@data
5.018559983199191E17,joaopauloff,'Defesa Civil de Santos acha relógio marcando hora da queda de avião http://t.co/uiL4fTv3SK via @g1',2014/08/19
5.0185599902038835E17,DivulganaredeQB,'Vendo seu candidato naufragar, PT-SP estuda processar a TV Globo para ter cobertura diária de Padi... http://t.co/EwkIef8pfi',2014/08/19
5.0185600019099648E17,benevides_cris,'2014: Marina Silva e a aliança com PSB, entrevista O Globo http://t.co/wWvDAMXOfF',2014/08/19
5.018560128951255E17,DoceeCabana,'Vendo seu candidato naufragar, PT-SP estuda processar a TV Globo para ter cobertura diária de Padi... http://t.co/bOj8hDrJYH',2014/08/19
5.0185601433000346E17,SEPbeto,'... A Record. Teríamos todas as quartas e domingos, gambás X Flamerda, Flamerda X Gambás na globo',2014/08/19
5.0185602172414771E17,marcus21061986,'Documento do PSB vai impor a Marina manutenção de alianças de Campos nos estados http://t.co/W4k8O6Gsu3',2014/08/19
5.0185602239144755E17,taiswb,'RT @joaopaulom: Aécio quer reequipar a PF e colocar mais policiais nas ruas http://t.co/Y4cFvb3bc6 via @g1',2014/08/19
5.0185602447981363E17,DonaOlgamaria,'Vendo seu candidato naufragar, PT-SP estuda processar a TV Globo para ter cobertura diária de Padi... http://t.co/p22x3VzMJF',2014/08/19
5.0185603771741798E17,DruifVanRob,'Hoje passou \"ela é o cara\" na globo. Channing Tatum ta mt gato nesse filme!',2014/08/19
5.0185603809030963E17,Dribles_,'Vendo seu candidato naufragar, PT-SP estuda processar a TV Globo para ter cobertura diária de Padi... http://t.co/wux0qdETZm',2014/08/19
5.0185603966738842E17,carioca556,'Telescópio da Nasa capta melhor imagem de um buraco negro já vista http://t.co/e6vmK2qbUl',2014/08/19
5.0185604190753997E17,fabriciosgomes,'RT @gcamarotti: PSB decide indicar Beto Albuquerque para vice de Marina. http://t.co/OdkXx351AT',2014/08/19
5.0185604976726835E17,ECVitoria_,'Vendo seu candidato naufragar, PT-SP estuda processar a TV Globo para ter cobertura diária de Padi... http://t.co/HV67VEoNM9',2014/08/19
5.0185606233798656E17,roberta_jorn,'RT @gcamarotti: PSB decide indicar Beto Albuquerque para vice de Marina. http://t.co/OdkXx351AT',2014/08/19
5.0185606622189978E17,mvrodrigues,'Espero que Pedro Simon se candidate ao Senado RT @gcamarotti PSB decide indicar Beto Albuquerque para vice de Marina. http://t.co/qhZLtTWTDY',2014/08/19
5.0185607656466842E17,Jorgecarvalho23,'Bem Estar - Pesquisa diz que 93\% estão insatisfeitos com SUS e saúde privada http://t.co/74IwGMY1hO via @g1',2014/08/19
